cat_smiles,an_smiles,T,P,value,unit,ref,il,mw,logp,tpsa,hbd,hba,rotb,ar_rings,heavy,fcsp3,rings
CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,,270.4,K,"Shimizu, Yoshitaka; Ohte, Yoko; Yamamura, Yasuhisa; Tsuzuki, Seiji; Saito, Kazuya (2012) J. Phys. Chem. B 116(18), 5406-5413.",CCCC[n+]1ccn(C)c1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,419.369,2.1720000000000006,91.19,0,4,5,1,25,0.7,1
CCCC[n+]1ccn(C)c1,CS(=O)(=O)[O-],,,337.1,K,"Serbanovic, A.; Petrovski, Z.; Manic, M.; Marques, C. S.; Carrera, G. V. S. M.; Branco, L. C.; Afonso, C. A. M.; Nunes da Ponte, M. (2010) Fluid Phase Equilib. 294, 121-130.",CCCC[n+]1ccn(C)c1|CS(=O)(=O)[O-],234.321,0.2741000000000002,66.01,0,3,3,1,15,0.6666666666666666,1
CCCC[N+](CCCC)=C(N(C)C)N(C)C,N#C[N-]C#N,,,371.1,K,"Serbanovic, A.; Petrovski, Z.; Manic, M.; Marques, C. S.; Carrera, G. V. S. M.; Branco, L. C.; Afonso, C. A. M.; Nunes da Ponte, M. (2010) Fluid Phase Equilib. 294, 121-130.",CCCC[N+](CCCC)=C(N(C)C)N(C)C|N#C[N-]C#N,294.447,2.4005600000000005,71.17,0,2,6,0,21,0.8,0
CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,,272.0,K,"Shevelyova, M. P.; Zaitsau, D. H.; Paulechka, Y. U.; Blokhin, A. V.; Kabo, G. J. (2007) J. Chem. Eng. Data 52(4), 1360-1365.",CCCCCC[n+]1ccn(C)c1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,447.423,2.952200000000002,91.19,0,4,7,1,27,0.75,1
CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],,,362.55,K,"Seward, R. P. (1951) J. Am. Chem. Soc. 73, 515-517.",CCCC[N+](CCCC)(CCCC)CCCC.C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-]|C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],698.6630000000001,5.973200000000007,304.96,0,14,18,2,49,0.5714285714285714,2
CC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,,,334.1,K,"Sifaoui, H.; Ait-Kaci, A.; Modarressi, A.; Rogalski, M. (2007) Thermochim. Acta 456(2), 114-119.",CC[n+]1ccn(C)c1|F[P-](F)(F)(F)(F)F,256.12999999999994,3.714900000000002,8.809999999999999,0,0,1,1,15,0.5,1
COC(=O)[C@@H]1CCC[N+]1(C)C,COS(=O)(=O)[O-],,,230.4,K,"Sintra, T. E.; Gantman, M. G.; Ventura, S. P.M.; Coutinho, J. A.P.; Wasserscheid, P.; Schulz, P. S. (2019) J. Mol. Liq. 283, 410-416.",COC(=O)[C@@H]1CCC[N+]1(C)C|COS(=O)(=O)[O-],269.319,-0.5087999999999993,92.73,0,6,2,0,17,0.8888888888888888,1
CCCCCCCCCCCCCCCC[N+]1(C)CCCCC1,[Cl-],,,365.9,K,"Sastry, N. V.; Trivedi, P. A. (2021) J. Mol. Liq. 336, 116345.",CCCCCCCCCCCCCCCC[N+]1(C)CCCCC1|[Cl-],360.07000000000016,4.1022000000000025,0.0,0,0,15,0,24,1.0,1
CC[n+]1ccn(C)c1,Cc1ccc(S(=O)(=O)[O-])cc1,,,328.2,K,"Stejfa, Vojtech; Rohlicek, Jan; Cervinka, Ctirad (2020) J. Chem. Thermodyn. 142, 106020.",CC[n+]1ccn(C)c1|Cc1ccc(S(=O)(=O)[O-])cc1,282.365,1.2316199999999995,66.01,0,3,2,2,19,0.3076923076923077,2
Cn1cc[n+](Cc2ccccc2)c1,[Cl-],,,343.1,K,"Sakizadeh, K.; Olson, L. P.; Cowdery-Corvan, P. J.; Ishida, T.; Whitcomb, D. R. (2007) U.S. Patent US7163786B1, 2007, Jan. 16.",Cn1cc[n+](Cc2ccccc2)c1|[Cl-],208.692,-1.6350999999999984,8.809999999999999,0,0,2,2,14,0.1818181818181818,2
