il
C(C)N1C(=[N+](C=C1)C)C|[S-]C#N
C(CCC)[P+](CCCCCCCCCC)(CCCC)CCCC|[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F
C(CCC)[P+](CCCCCCCCCCCC)(CCCC)CCCC|[N-](C#N)C#N
C(CCCC)N1C=[N+](C=C1)C=C|FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F
C(CCCCC)N1C=[N+](C=C1)C=C|FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F
C(CCCCC)N1C=[N+](C=C1)C|CP(OC)([O-])=O
C(CCCCC)N1C=[N+](C=C1)C|P(OC)([O-])=O
C(CCCCC)[N+](=C(N(C)C)N(C)C)CCCCCC|C(#N)[C-](C#N)C#N
C(CCCCC)[N+](=C(N(C)C)N(C)C)CCCCCC|[N-](C#N)C#N
C(CCCCC)[N+]1=CC=C(C=C1)C|FC(S(=O)(=O)[O-])(F)F
C(CCCCCC)N1C=[N+](C=C1)C=C|FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F
C(CCCCCCC[N+]1(CCOCC1)C)[N+]1(CCOCC1)C|FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
C(CCC[N+]1(CCOCC1)C)[N+]1(CCOCC1)C|FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
C1C[C@@H]2[N+](CCCC)(C)[C@H]1C[C@H](O)C2.C(C(=O)[O-])[C@@H](C(=O)[O-])[NH3+]|C(C(=O)[O-])[C@@H](C(=O)[O-])[NH3+]
C1C[C@@H]2[N+](CCCC)(C)[C@H]1C[C@H](O)C2.C(CC(=O)[O-])[C@@H](C(=O)[O-])[NH3+]|C(CC(=O)[O-])[C@@H](C(=O)[O-])[NH3+]
C1C[C@@H]2[N+](CCCC)(C)[C@H]1C[C@H](O)C2|C(C(=O)[O-])N
C1C[C@@H]2[N+](CCCC)(C)[C@H]1C[C@H](O)C2|C([C@@H](C(=O)[O-])N)O
C1C[C@@H]2[N+](CCCC)(C)[C@H]1C[C@H](O)C2|C1=CC=C(C=C1)C[C@@H](C(=O)[O-])N
C1C[C@@H]2[N+](CCCC)(C)[C@H]1C[C@H](O)C2|C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)[O-])N
C1C[C@@H]2[N+](CCCC)(C)[C@H]1C[C@H](O)C2|C[C@@H](C(=O)[O-])N
C=CC[N+](C)(C)CCC[N+](C)(C)CCOCC|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
C=CC[N+](C)(C)CCOCC[N+](C)(C)CCCCC|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
C=CC[N+](C)(C)CCn1cc[n+](C)c1|N#C[N-]C#N.N#C[N-]C#N
C=CC[N+](C)(C)CC|N#C[N-]C#N
C=CC[N+](C)(C)CC|O=C([O-])C(F)(F)F
C=CC[N+](C)(C)CC|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
C=CC[N+](C)(C)CC|O=S(=O)([O-])C(F)(F)F
C=CC[n+]1ccn(C)c1|CC(=O)[O-]
C=CC[n+]1ccn(C)c1|CC(O)C(=O)[O-]
C=CC[n+]1ccn(C)c1|CCCC(=O)[O-]
C=CC[n+]1ccn(C)c1|N#C[N-]C#N
C=CC[n+]1ccn(C)c1|N#C[S-]
C=CC[n+]1ccn(C)c1|O=C([O-])CO
C=CC[n+]1ccn(C)c1|O=C([O-])c1ccccc1
C=CC[n+]1ccn(C)c1|O=C[O-]
C=CC[n+]1ccn(C)c1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
C=CC[n+]1ccn(C)c1|[Br-]
C=CC[n+]1ccn(C)c1|[Cl-]
C=CC[n+]1ccn(C=C)c1|N#C[N-]C#N
C=CC[n+]1ccn(C=C)c1|[Br-]
C=CC[n+]1ccn(CCC#N)c1|N#C[S-]
C=CCn1cc[n+](C)c1|CCC(=O)[O-]
C=CCn1cc[n+](CCC#N)c1|[Cl-]
C=CCn1cc[n+](CCOC)c1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
C=CN1C=C[N+](CCCC)=C1|O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O
C=C[n+]1ccn(CC(=O)OCC)c1|[Cl-]
C=C[n+]1ccn(CC(N)=O)c1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
C=C[n+]1ccn(CCCC)c1|CC(C)[C@H](N)C(=O)[O-]
C=C[n+]1ccn(CCCC)c1|C[C@H](N)C(=O)[O-]
C=C[n+]1ccn(CCCC)c1|N=C(N)NCCC[C@H](N)C(=O)[O-]
C=C[n+]1ccn(CCCC)c1|O=C([O-])[C@@H]1CCCN1
C=C[n+]1ccn(CCCCCCCC)c1|[Br-]
C=C[n+]1ccn(CC[N+](C)(C)CC=C)c1|N#C[N-]C#N.N#C[N-]C#N
C=Cc1ccc(C[N+](C)(C)CCCCCCCCCC)cc1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
C=Cc1ccc(C[N+](CC)(CC)CC)cc1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
C=Cc1ccc(C[N+](CCCC)(CCCC)CCCC)cc1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
C=Cc1ccc(C[N+]2(C)CCCC2)cc1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
C=Cc1ccc(C[N+]2(C)CCOCC2)cc1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
C=Cc1ccc(C[n+]2ccccc2)cc1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
C=Cc1ccc(Cn2cc[n+](C)c2)cc1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
C=Cc1ccc(Cn2cc[n+](C)c2C)cc1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
C=Cn1cc[n+](CC(CBr)N=[N+]=[N-])c1|C=Cn1cc[n+](CC(CBr)N=[N+]=[N-])c1.N#C[N-]C#N
C=Cn1cc[n+](CC(CBr)N=[N+]=[N-])c1|C=Cn1cc[n+](CC(CBr)N=[N+]=[N-])c1.[Br-]
C=Cn1cc[n+](CC(C[n+]2ccn(C)c2)N=[N+]=[N-])c1|C=Cn1cc[n+](CC(C[n+]2ccn(C)c2)N=[N+]=[N-])c1.N#C[N-]C#N.N#C[N-]C#N
C=Cn1cc[n+](CC(C[n+]2ccn(C)c2)N=[N+]=[N-])c1|C=Cn1cc[n+](CC(C[n+]2ccn(C)c2)N=[N+]=[N-])c1.[Br-].[Br-]
C=Cn1cc[n+](CCCC)c1|[Br-]
C=Cn1cc[n+](CCCCCC)c1|[Br-]
CC(=O)OCC[N+](C)(C)C|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CC(C)=C[n+]1ccn(C)c1|F[B-](F)(F)F
CC(C)CCCC[n+]1ccn(C)c1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CC(C)CCC[n+]1ccn(C)c1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CC(C)CC[n+]1ccn(C)c1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CC(C)CCn1c[n+](CCCCS(=O)(=O)O)cn1|O=S(=O)([O-])C(F)(F)F
CC(C)C[N+]1(C)CCCC1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CC(C)C[N+]1(C)CCCCC1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CC(C)C[P+](C)(CC(C)C)CC(C)C|Cc1ccc(S(=O)(=O)[O-])cc1
CC(C)C[n+]1ccn(C)c1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OCn1cc[n+](C)c1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CC(C)[N+](C)(C)CC#N|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CC(C)[N+](C)(C)CCCCCCCCC[N+](C)(C)C(C)C|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CC(C)[N+](C)(C)CCO|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CC(C)[n+]1ccn(C)c1|O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
CC(C)[n+]1ccn(C)c1|[Br-]
CC(C)n1cc[n+](C)c1|O=S(=O)(F)[N-]S(=O)(=O)F
CC(C)n1cc[n+](C)c1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CC1(C)OCC(C[N+](C)(C)Cc2cccnc2)O1|F[B-](F)(F)F
CC1(OC[C@@H](O1)C[N+]1(CCCC1)C)C|FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F
CC1=CC(C)=[O+][Be-2]2(O1)OC(C)=CC(C)=[O+]2|CC1=CC(C)=[O+][Be-2]2(O1)OC(C)=CC(C)=[O+]2
CC1=CC=CC=[N+]1CCCC|C(F)(F)(F)S(=O)(=O)[O-]
CC1=CC=CC=[N+]1CCCC|[Br-]
CC1=CC=CC=[N+]1CCCC|[Cl-]
CC1=CC=C[N+](CCCC)=C1|[Br-]
CC1=CC=[N+](CC)C=C1|[Br-]
CC1=CC=[N+](CCCC)C=C1|C(F)(F)(F)S(=O)(=O)[O-]
CC1=CC=[N+](CCCC)C=C1|[Br-]
CC1=CC=[N+](CCCC)C=C1|[Cl-]
CC1=C[N+](CCC)=CC=C1|[Br-]
CCC=C[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1|O=[N+]([O-])c1cn[n-]c1
CCC=C[P+](CC)(CC)CC|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCC=C[n+]1ccn(C)c1C.O=[N+]([O-])c1cn[n-]c1|O=[N+]([O-])c1cn[n-]c1
CCCCC/C=C\C/C=C\CCCCCCCCn1cc[n+](C)c1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCCCCCC/C=C/CCCCCCCCn1cc[n+](C)c1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCCCCCC/C=C\CCCCCCCC[n+]1ccn(C)c1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCCCCCC/C=C\CCCCCCCCn1cc[n+](C)c1|F[B-](F)(F)F
CCCCCCCCCC(=O)OCC[N+](C)(C)COCCCCC|O=C([O-])C(F)(F)F
CCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCC)C1=CC=[N+](C=C1)C|[Cl-]
CCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCC)C1=CC=[N+](C=C1)C|[I-]
CCCCCCCCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C|N#C[N-]C#N
CCCCCCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCCCCCCCCCCCCCCCCN(C)C(N(C)CCCCCCCCCCCCCCCCCC)=[N+](C)C|N#C[N-]C#N
CCCCCCCCCCCCCCCCCCN(C)C(N(C)CCCCCCCCCCCCCCCCCC)=[N+](C)C|c1ccc([B-](c2ccccc2)(c2ccccc2)c2ccccc2)cc1
CCCCCCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC|c1c[n-]nn1
CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-]|CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-]
CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21|CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.F[B-](F)(F)F
CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21|CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=S(=O)([O-])C(F)(F)F
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
