a,b,gamma,N80,N90,r2_fit,property,label,anchor_gbm_r2_group,anchor_gbm_r2_point
1.0499999999998755,1.6089662144026182,0.2153200090829724,5693.415108603003,61051.16478324901,0.874237805610288,viscosity,Viscosity (ln η),,
,,,,,,viscosity,Viscosity (ln η),0.694564872041888,0.7964009883468297
0.7301169013808736,9.637538056471609,0.80688825791263,,,0.9370213999213606,conductivity,Conductivity (ln κ),,
,,,,,,conductivity,Conductivity (ln κ),0.6945889911864169,0.8411738838460151
1.0499999999999978,8.288607908669029,0.5649526086904776,491.4165772839869,1213.7671931049672,0.9169483233705944,density,Density,,
,,,,,,density,Density,0.8339812255806676,0.9356982596314974
0.809291346265148,2.7679600729029703,0.2879632068917774,,,0.962437986902507,melting_point,Melting point (K),,
,,,,,,melting_point,Melting point (K),0.3894334430168238,0.34072817138666134
