cat_smiles,an_smiles,g_cond,h_cond,gnn_cond,gnn_visc,gnn_tm,gnn_dens,gbm_gnn_gap,gnn_agree
CC[n+]1ccsc1,N#C[N-]C#N,0.6401899205605737,0.2799413639780502,0.4337884259486344,3.335663105349667,253.5629480709049,1.1817268213814947,0.20640149461193924,True
CC[n+]1ccn(C)c1,N#C[N-]C#N.N#C[N-]C#N,0.6297784215651085,0.7147566734169319,0.7338153936631073,3.3355494278553692,270.5571409974864,1.1401991093012969,0.10403697209799878,True
CCn1cc[n+](C)c1,N#C[N-]C#N.N#C[N-]C#N,0.5884267200391987,0.6336718395872275,0.7595991305711323,3.340411867148049,271.12189202068475,1.1401481766916435,0.17117241053193355,True
CCn1cc[n+](CC)c1,N#C[N-]C#N,0.5110470096267823,0.4933282943902166,0.32588695955874414,3.365641431748358,251.00853093072783,1.0961480972908548,0.18516005006803815,True
CC[n+]1cc[nH]c1,N#C[N-]C#N,0.3856135798637245,0.3826397951038746,0.5011434349452912,2.9678622527502085,247.86074541482503,1.1576901281909349,0.11552985508156671,True
CCn1cn[n+](C)c1,N#C[N-]C#N,0.232040278682257,0.2249318506374938,0.4295309077807161,3.0484945312421843,244.65585872781685,1.135987995439815,0.19749062909845913,True
C[n+]1cn(N)cn1,N#C[N-]C#N,0.1379688061201285,-0.2676280006995303,0.3316906812222129,3.027019096575515,247.17202866335083,1.2203230175131934,0.1937218751020844,True
CC[n+]1ccn(C)c1,Brc1c[n-]cn1,0.0340778938512778,0.5559727428761024,-2.1932577687801427,4.86461422074715,310.1939689313228,1.3221488449009695,2.2273356626314205,False
CCn1cc[n+](C)c1,Brc1c[n-]cn1,0.0340778938512778,0.3227111582612617,-2.0582374261193195,4.867954120982056,310.5584999212719,1.3221227480406719,2.0923153199705973,False
CC[n+]1cc[nH]c1,N#C[B-](C#N)(C#N)C#N,0.0177039197290293,-0.0697593231429895,0.32736595701352655,2.941949883818296,270.31421192811376,1.1086042731284627,0.30966203728449726,True
CC[S+](C)CC,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F,-0.953723899579952,-0.5131694432891762,-1.3330300671687514,5.340103057585097,300.26348984528636,1.526811066521212,0.3793061675887994,True
CC[S+](CC)CC,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F,-0.9987825601813306,-0.4871778943657683,-1.3227336061946762,5.44168286355071,299.89192264339135,1.4938566510505176,0.32395104601334557,True
CCOCn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F,-1.226552167489402,-0.8954085105322975,-1.0391780609379921,5.2941455571586715,268.4126679458559,1.5603400197284358,0.18737410655140985,True
