cat_smiles,an_smiles,g_cond,g_visc,g_tm,g_dens,h_cond,h_visc,h_tm,cond_gap,visc_gap,tm_gap,sa_sum
CC[n+]1ccsc1,N#C[N-]C#N,0.6401899205605737,3.1752533284872975,274.67389749495936,1.1747935085029297,0.2799413639780502,3.2269931444295126,274.9894608816599,0.36024855658252347,0.051739815942215106,0.3155633867005463,9.74199871437457
CC[n+]1ccn(C)c1,N#C[N-]C#N.N#C[N-]C#N,0.6297784215651085,3.5845545448728084,272.71390813834324,1.1825758920794949,0.7147566734169319,3.5151020232594252,267.39268363027253,0.0849782518518234,0.06945252161338322,5.3212245080707135,9.720878907027341
CCn1cc[n+](C)c1,N#C[N-]C#N.N#C[N-]C#N,0.5884267200391987,3.7432278069035636,269.9903765541141,1.1825758920794949,0.6336718395872275,3.608641083778786,264.77488990010534,0.04524511954802879,0.13458672312477749,5.215486654008771,9.344861424509858
CCn1cc[n+](CC)c1,N#C[N-]C#N,0.5110470096267823,3.112152644360213,267.0319075908833,1.1113779700707163,0.4933282943902166,2.698474691909782,267.278460951667,0.017718715236565707,0.41367795245043126,0.24655336078370738,9.42261913507605
CC[n+]1cc[nH]c1,N#C[N-]C#N,0.3856135798637245,3.0504197006906684,260.2186701676485,1.1581692390827478,0.3826397951038746,2.9466287710497796,270.46124436090685,0.00297378475984994,0.10379092964088876,10.24257419325835,9.647304868220726
CCn1cn[n+](C)c1,N#C[N-]C#N,0.23204027868225702,3.1415737758978914,260.143815089894,1.1385018477626998,0.22493185063749388,3.078764260308005,269.39503942972556,0.007108428044763138,0.06280951558988646,9.251224339831538,10.26415548613744
C[n+]1cn(N)cn1,N#C[N-]C#N,0.13796880612012857,2.9880240377886325,273.35292222613305,1.2116752922184224,-0.26762800069953036,3.147374564703789,273.8272196169923,0.40559680681965893,0.15935052691515672,0.47429739085924894,10.847606811540565
CC[n+]1ccn(C)c1,Brc1c[n-]cn1,0.03407789385127785,3.663624880866172,259.27807078114216,1.2538816678617053,0.5559727428761024,4.145575509167462,264.8531431672057,0.5218948490248245,0.48195062830129,5.575072386063539,9.468501774528683
CCn1cc[n+](C)c1,Brc1c[n-]cn1,0.03407789385127785,3.714363860966912,256.91042763866955,1.2538816678617053,0.32271115826126173,4.118435385897377,265.5254134152636,0.2886332644099839,0.40407152493046494,8.61498577659404,9.0924842920112
CC[n+]1cc[nH]c1,N#C[B-](C#N)(C#N)C#N,0.01770391972902935,2.9727368424521052,289.1685514778452,1.1169222750156784,-0.06975932314298959,3.416943045717707,302.1379986693349,0.08746324287201894,0.44420620326560156,12.969447191489678,8.990797585786854
CC[S+](C)CC,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F,-0.9537238995799521,4.55299489186427,237.50369582249,1.486681006948233,-0.5131694432891762,4.62207221587812,249.92097955301588,0.44055445629077583,0.06907732401384958,12.417283730525895,7.033558762256502
CC[S+](CC)CC,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F,-0.9987825601813306,4.4754175904331035,240.6858675421857,1.4683973820672869,-0.4871778943657683,4.470454283435165,252.96906626051927,0.5116046658155623,0.004963306997938233,12.28319871833358,6.95167026203288
CCOCn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F,-1.226552167489402,4.427008551010509,243.94689653592638,1.5258623220376968,-0.8954085105322975,4.876238552318626,230.94592235301906,0.33114365695710446,0.4492300013081172,13.000974182907328,6.303375932294206
